"APC" "KRAS" "TP53" "PIK3CA" "Exist"
"224" 0.0458064516129032 0.00516129032258065 0.0096774193548387 0.0367741935483871 1
"225" 0.137147335423198 0 0.00626959247648903 0.0266457680250784 1
"226" 0 0 0 0 0
"227" 0 0 0 0 0
"228" 0 0 0 0.275 1
"229" 0.0941176470588236 0 0 0.135294117647058 1
"230" 0.0740740740740741 0.0119047619047619 0.00462962962962962 0.0330687830687831 1
"231" 0.145 0.00125 0.005 0.005 1
"232" 0 0 0 0 0
"233" 0 0 0 0 0
"234" 0.246924428822496 0.00175746924428822 0.015817223198594 0.0123022847100176 1
"235" 0 0 0 0 0
"236" 0.0518731988472622 0 0.00144092219020173 0.0129682997118156 1
"237" 0.0394904458598726 0.00700636942675159 0.00318471337579618 0.0292993630573248 1
"238" 0 0 0 0 0
"239" 0 0 0 0 0
"240" 0 0 0 0 0
"241" 0.0428380187416332 0.00401606425702811 0.0234270414993307 0.00200803212851406 1
"242" 0.0833333333333333 0.00484496124031008 0.00387596899224806 0.0164728682170543 1
"243" 0.208955223880597 0 0.0746268656716418 0 1
"244" 0.01 0 0 0.04 1
"245" 0.0513418903150525 0.00350058343057176 0.0128354725787631 0.00700116686114352 1
"246" 0 0 0 0 0
"247" 0 0 0 0 0
"248" 0 0 0 0 0
"249" 0 0 0 0 0
"250" 0 0 0 0 0
"251" 0 0 0 0 0
"252" 0.0517241379310344 0 0.0028735632183908 0.0201149425287356 1
"253" 0.064471879286694 0.00685871056241426 0.0130315500685871 0.0171467764060357 1
"254" 0.0885509838998211 0.00178890876565295 0 0.0295169946332737 1
"255" 0.0715648854961832 0.00190839694656489 0.00858778625954198 0.017175572519084 1
"256" 0.13855421686747 0.0240963855421687 0.0240963855421687 0.00602409638554217 1
"257" 0 0 0 0 0
"258" 0.0354330708661417 0.00787401574803149 0.0112485939257593 0.0163104611923509 1
"259" 0 0 0 0 0
"260" 0.0565714285714286 0.00285714285714286 0.00571428571428572 0.00114285714285714 1
"261" 0 0 0 0 0
"262" 0.0780219780219781 0.00164835164835165 0.00494505494505495 0.0126373626373626 1
"263" 0.0121668597914253 0.00753186558516802 0.00347624565469294 0.00926998841251449 1
"264" 0 0 0 0 0
"265" 0.00932400932400933 0 0.00874125874125875 0.006993006993007 1
"266" 0 0 0 0 0
"267" 0 0 0 0 0
"268" 0.049738219895288 0.018979057591623 0.00850785340314136 0.0137434554973822 1
"269" 0.06 0 0.06 0 1
"270" 0 0 0 0 0
"271" 0.0179775280898877 0 0.00898876404494382 0.00561797752808988 1
"272" 0 0 0 0 0
"273" 0 0 0 0 0
"274" 0.166666666666667 0 0.0260416666666666 0.0659722222222223 1
"275" 0.0540308747855917 0.0180102915951973 0.000857632933104631 0.0214408233276158 1
"276" 0.0265957446808511 0 0.00465425531914893 0.0246010638297873 1
"277" 0 0 0 0 0
"278" 0 0 0 0 0
